device_id,timestamp,cacao_type,region,altitude,temperature,humidity,precipitation,soil_moisture,soil_ph,soil_type,crop_age,crop_status,fruit_color,fruit_size,harvest_season,cultivation_method,pesticide_use,fermentation_type,light_intensity,gps_lat,gps_lng,producer_id,lot_volume_kg,sale_price_usd,lab_quality_score,certification
3,2026-03-03T19:43:41Z,Criollo,Junin,862,2959,7655,12588,7631,682,volcanic,6,growing,purple,small,main,organic,none,box,15483,-10.748338,-74.869312,PROD-016,4901,8803,98,none
3,2026-03-26T11:27:52Z,Trinitario,Amazonas,623,2248,9167,18668,4251,587,sandy_loam,3,fruiting,orange,large,mid-crop,organic,limited,box,39588,-6.746116,-77.338025,PROD-004,3461,11854,76,none
5,2026-03-03T11:28:49Z,Forastero,Junin,784,2953,8604,16937,4160,627,sandy_loam,21,flowering,yellow,medium,main,organic,none,basket,42351,-10.642992,-74.869351,PROD-019,3794,12952,93,rainforest_alliance
5,2026-03-07T09:08:16Z,Criollo,Amazonas,944,2641,9174,14971,7927,678,sandy_loam,4,flowering,yellow,large,main,traditional,controlled,basket,19416,-6.415730,-77.744419,PROD-002,2942,8025,70,organic
4,2026-03-17T02:54:03Z,Criollo,Amazonas,1178,2413,7922,17182,6260,564,volcanic,23,fruiting,orange,small,mid-crop,organic,controlled,box,40149,-6.351797,-77.960566,PROD-019,3650,11838,98,rainforest_alliance
4,2026-03-01T05:29:03Z,Criollo,San Martin,1159,2962,7940,9201,4198,624,clay_loam,25,growing,orange,small,mid-crop,organic,none,box,5476,-7.236672,-76.839329,PROD-014,1004,12278,62,none
6,2026-03-21T13:22:10Z,Criollo,Junin,622,2734,7444,17194,5925,574,clay_loam,6,healthy,orange,large,main,agroforestry,limited,heap,24012,-11.510384,-75.395736,PROD-001,752,7116,79,none
3,2026-03-23T15:29:40Z,Criollo,Junin,641,2242,7404,11153,6571,568,volcanic,4,fruiting,purple,medium,mid-crop,agroforestry,limited,heap,32064,-11.358931,-74.844152,PROD-012,2029,6200,76,organic
5,2026-03-17T14:57:33Z,Criollo,Cusco,663,2291,8211,14070,5130,669,volcanic,18,flowering,orange,medium,mid-crop,organic,controlled,basket,23701,-14.026661,-71.644364,PROD-001,1555,4767,60,none
1,2026-03-26T05:41:42Z,Criollo,San Martin,536,2581,8715,14726,7253,693,clay_loam,10,healthy,red,small,mid-crop,organic,none,box,36755,-6.460384,-75.551180,PROD-009,4424,2840,75,fair_trade
3,2026-03-14T10:39:25Z,Forastero,Cusco,690,2459,7726,8842,4435,686,clay_loam,5,healthy,purple,medium,main,organic,none,basket,27732,-12.871441,-72.562829,PROD-013,2106,12736,77,organic
4,2026-03-13T21:29:31Z,Trinitario,Junin,668,2280,7156,16911,4856,692,volcanic,11,flowering,yellow,medium,mid-crop,agroforestry,controlled,basket,19528,-11.224650,-75.411760,PROD-020,2443,3041,84,organic
2,2026-03-20T18:01:03Z,Trinitario,Junin,429,2620,7985,9626,5232,655,volcanic,21,fruiting,orange,medium,main,traditional,none,basket,29723,-11.810047,-75.557014,PROD-003,4319,5253,87,fair_trade
3,2026-03-21T20:34:07Z,Criollo,Cusco,730,2210,7310,13934,6895,587,clay_loam,9,healthy,orange,small,main,agroforestry,none,box,38630,-12.939070,-72.720870,PROD-009,2509,5859,75,fair_trade
4,2026-03-18T09:41:24Z,Criollo,Amazonas,805,2246,7876,16037,4037,565,clay_loam,3,flowering,yellow,small,main,organic,none,basket,41225,-6.395669,-78.197565,PROD-012,1034,10239,83,organic
1,2026-03-09T17:08:05Z,Criollo,Amazonas,1077,2640,7990,12833,4737,658,volcanic,17,healthy,purple,medium,main,traditional,none,box,49882,-6.729462,-77.451021,PROD-012,4415,14053,70,organic
4,2026-03-17T11:32:10Z,Trinitario,Amazonas,684,2577,9427,10952,6307,551,clay_loam,23,growing,purple,large,mid-crop,organic,none,basket,40509,-5.899396,-78.452245,PROD-020,4544,8405,90,rainforest_alliance
7,2026-03-06T13:27:22Z,Criollo,Cusco,887,2672,8093,11100,7400,562,volcanic,23,flowering,orange,small,mid-crop,agroforestry,none,basket,34295,-13.999783,-72.075963,PROD-004,2662,6870,69,organic
3,2026-03-24T21:36:19Z,Criollo,San Martin,413,2217,7170,16232,5283,564,volcanic,10,growing,orange,small,mid-crop,organic,none,box,6667,-6.140330,-77.035500,PROD-015,3940,3670,62,none
8,2026-03-20T21:37:12Z,Forastero,Cusco,585,2217,7480,12192,7405,575,sandy_loam,12,healthy,yellow,medium,mid-crop,organic,limited,heap,44344,-13.088961,-72.020220,PROD-011,4916,10397,91,organic
2,2026-03-24T20:40:51Z,Trinitario,Amazonas,912,2461,9104,15325,6489,656,sandy_loam,15,fruiting,purple,medium,mid-crop,organic,none,basket,24985,-5.821545,-77.407336,PROD-013,1693,9707,86,none
7,2026-03-04T04:58:56Z,Trinitario,Junin,1029,2961,7977,12875,5301,551,clay_loam,3,flowering,yellow,large,mid-crop,organic,limited,box,22656,-11.496245,-75.170289,PROD-015,3886,9223,95,none
